FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE,TARGETED
192.168.178.41:62900 => 185.53.100.11:443,192.168.178.41,62900,185.53.100.11,443,6,1679953289.413039,javanews,1.863834,425,425,30069,0,16132.874494187789,228.02459875718543,70.75058823529412,False
192.168.178.41:62901 => 185.53.100.11:443,192.168.178.41,62901,185.53.100.11,443,6,1679953289.413107,javanews,0.244107,9,9,1053,0,4313.682114810309,36.86907790436161,117.0,False
185.53.100.11:443 => 192.168.178.41:62900,185.53.100.11,443,192.168.178.41,62900,6,1679953289.49084,javanews,1.785954,1141,1141,1655271,0,926827.3426975164,638.874237522355,1450.7195442594216,False
185.53.100.11:443 => 192.168.178.41:62901,185.53.100.11,443,192.168.178.41,62901,6,1679953289.490845,javanews,0.166107,10,10,5696,0,34291.149680627546,60.202158849416335,569.6,False
192.168.178.41:62902 => 185.53.100.11:443,192.168.178.41,62902,185.53.100.11,443,6,1679953289.657879,javanews,1.615391,8,8,1120,0,693.3305930267038,4.95236137876217,140.0,False
185.53.100.11:443 => 192.168.178.41:62902,185.53.100.11,443,192.168.178.41,62902,6,1679953289.740876,javanews,1.532263,7,7,975,0,636.3137398736379,4.568406337554324,139.28571428571428,False
192.168.178.41:53744 => 172.67.194.177:443,192.168.178.41,53744,172.67.194.177,443,6,1679951505.015137,lajme,0.138916,8,8,1009,0,7263.382187796942,57.588758674306774,126.125,False
192.168.178.41:53745 => 172.67.194.177:443,192.168.178.41,53745,172.67.194.177,443,6,1679951505.015276,lajme,3.062319,33,33,3140,0,1025.366723714936,10.776147096367165,95.15151515151516,False
172.67.194.177:443 => 192.168.178.41:53745,172.67.194.177,443,192.168.178.41,53745,6,1679951505.058516,lajme,3.019026,53,53,55528,0,18392.68691293152,17.555330758993133,1047.698113207547,False
172.67.194.177:443 => 192.168.178.41:53744,172.67.194.177,443,192.168.178.41,53744,6,1679951505.058523,lajme,0.0954,5,5,2390,0,25052.410901467505,52.41090146750524,478.0,False
192.168.178.41:53747 => 172.67.194.177:443,192.168.178.41,53747,172.67.194.177,443,6,1679951505.256947,lajme,2.830995,8,8,1041,0,367.7152379287141,2.8258615787028942,130.125,False
172.67.194.177:443 => 192.168.178.41:53747,172.67.194.177,443,192.168.178.41,53747,6,1679951505.311297,lajme,2.776555,5,5,992,0,357.27727345577523,1.80079270895048,198.4,False
192.168.178.41:53067 => 185.151.30.140:443,192.168.178.41,53067,185.151.30.140,443,6,1679951393.723034,albanianvoice,0.135055,7,7,957,0,7086.001999185517,51.83073562622635,136.71428571428572,False
192.168.178.41:53068 => 185.151.30.140:443,192.168.178.41,53068,185.151.30.140,443,6,1679951393.723128,albanianvoice,0.135013,7,7,957,0,7088.206320872805,51.84685919133713,136.71428571428572,False
185.151.30.140:443 => 192.168.178.41:53067,185.151.30.140,443,192.168.178.41,53067,6,1679951393.766147,albanianvoice,0.091833,7,7,5126,0,55818.71440549694,76.22532205198566,732.2857142857143,False
